campaign_id,campaign_name,start_date,end_date,channel,target_audience,budget,spend,impressions,clicks,conversions,conversion_rate,cost_per_click,cost_per_conversion,revenue,roi,region,product_category,creative_type,device_type,landing_page_conversion,email_open_rate,email_click_rate,social_shares,video_completion_rate
MC001,Summer Sale 2025,2025-06-01,2025-06-15,Email,Existing Customers,15000.00,14500.00,250000,12500,625,0.05,1.16,23.20,45000.00,2.10,North America,Clothing,Promotional,All,0.08,0.22,0.05,850,
MC002,Back to School,2025-07-15,2025-08-15,Social Media,Parents,25000.00,24800.00,750000,37500,1125,0.03,0.66,22.04,78750.00,2.17,North America,School Supplies,Lifestyle,Mobile,0.06,,,2250,0.45
MC003,Fall Collection Launch,2025-09-01,2025-09-30,Display Ads,Fashion Enthusiasts,30000.00,29500.00,1200000,24000,720,0.03,1.23,40.97,57600.00,0.95,Global,Apparel,Product Showcase,Desktop,0.05,,,1100,0.38
MC004,Holiday Special,2025-11-20,2025-12-25,Multi-channel,All Segments,50000.00,49800.00,2000000,60000,3000,0.05,0.83,16.60,240000.00,3.82,Global,Multiple,Seasonal,All,0.09,0.28,0.07,4500,0.52
MC005,New Year Promotion,2025-12-26,2026-01-15,Email,Loyalty Program,20000.00,19500.00,300000,15000,900,0.06,1.30,21.67,81000.00,3.15,Global,Multiple,Promotional,All,0.10,0.32,0.08,1200,
MC006,Valentine's Day Special,2025-02-01,2025-02-14,Social Media,Adults 25-40,18000.00,17800.00,600000,30000,1200,0.04,0.59,14.83,96000.00,4.39,Global,Gifts,Emotional,Mobile,0.07,,,2800,0.48
MC007,Spring Collection,2025-03-01,2025-03-31,Display Ads,Fashion Enthusiasts,28000.00,27500.00,950000,19000,570,0.03,1.45,48.25,51300.00,0.87,Global,Apparel,Product Showcase,Desktop,0.04,,,950,0.35
MC008,Easter Promotion,2025-03-15,2025-04-05,Email,Families,12000.00,11800.00,180000,9000,540,0.06,1.31,21.85,43200.00,2.66,North America,Food & Gifts,Seasonal,All,0.08,0.25,0.06,720,
MC009,Mother's Day Campaign,2025-04-20,2025-05-10,Multi-channel,Adults 25-55,22000.00,21800.00,800000,32000,1280,0.04,0.68,17.03,102400.00,3.70,North America,Gifts,Emotional,All,0.07,0.27,0.06,2100,0.44
MC010,Memorial Day Sale,2025-05-20,2025-05-31,Social Media,All Segments,15000.00,14800.00,550000,27500,825,0.03,0.54,17.94,66000.00,3.46,North America,Multiple,Promotional,Mobile,0.06,,,1850,0.42
MC011,Tech Gadgets Promo,2025-01-10,2025-01-31,Search Ads,Tech Enthusiasts,35000.00,34800.00,450000,22500,675,0.03,1.55,51.56,101250.00,1.91,Global,Electronics,Product Focused,Desktop,0.05,,,580,
MC012,Fitness Challenge,2025-01-05,2025-02-05,Social Media,Health Enthusiasts,20000.00,19800.00,900000,45000,1350,0.03,0.44,14.67,67500.00,2.41,Global,Fitness Equipment,Lifestyle,Mobile,0.06,,,3200,0.47
MC013,Home Office Essentials,2025-02-10,2025-03-10,Display Ads,Remote Workers,25000.00,24500.00,750000,15000,450,0.03,1.63,54.44,63000.00,1.57,Global,Office Supplies,Solution Based,Desktop,0.04,,,620,0.32
MC014,Spring Break Getaway,2025-02-15,2025-03-15,Email,Young Adults,18000.00,17500.00,220000,11000,550,0.05,1.59,31.82,77000.00,3.40,North America,Travel,Aspirational,All,0.07,0.24,0.05,980,
MC015,Tax Season Promo,2025-03-01,2025-04-15,Search Ads,Adults 30-55,22000.00,21800.00,280000,14000,420,0.03,1.56,51.90,50400.00,1.31,North America,Financial Services,Informational,Desktop,0.05,,,320,
