product_id,product_name,category,subcategory,brand,supplier_id,cost_price,selling_price,discount_percentage,tax_rate,stock_quantity,reorder_level,minimum_order_quantity,lead_time_days,shelf_location,warehouse_location,weight_kg,dimensions_cm,color,material,manufacturing_date,expiry_date,batch_number,barcode,sku,condition,warranty_months,return_policy,is_featured,is_seasonal,season,popularity_score,quality_score,safety_stock,economic_order_quantity,days_of_supply,turnover_rate,stockout_frequency,last_restock_date,last_sold_date,total_sales_units,total_sales_value,profit_margin,average_daily_demand,demand_variability,abc_classification
P001,Premium Laptop,Electronics,Computers,TechPro,S103,800.00,1299.99,5.00,8.50,45,20,10,14,A12,W3-B5,2.1,35x25x2,Silver,Aluminum,2025-01-10,,LT25001,8901234567890,TP-LT-001,New,24,30 days,Yes,No,,92,4.8,25,30,45,8.2,0.5,2025-05-15,2025-06-20,120,155998.80,38.46,2.67,0.4,A
P002,Wireless Headphones,Electronics,Audio,SoundMax,S105,45.00,89.99,10.00,8.50,78,30,20,7,B05,W1-C3,0.3,18x18x8,Black,Plastic,2025-02-05,,HP20025,8901234567891,SM-HP-002,New,12,30 days,Yes,No,,88,4.6,35,50,39,10.4,0.3,2025-05-10,2025-06-22,250,22497.50,50.00,6.41,0.5,A
P003,Smart Watch,Electronics,Wearables,TechPro,S103,120.00,199.99,0.00,8.50,62,25,15,10,A08,W3-B2,0.1,4x4x1,Black,Metal,2025-03-15,,WT30015,8901234567892,TP-WT-003,New,12,30 days,Yes,No,,85,4.7,30,40,31,12.0,0.2,2025-05-20,2025-06-21,180,35998.20,40.00,5.81,0.3,A
P004,Coffee Maker,Home,Kitchen Appliances,HomeEssentials,S108,65.00,129.99,15.00,8.50,38,15,10,14,C10,W2-A4,3.5,30x25x40,Silver,Stainless Steel,2025-01-20,,CM40020,8901234567893,HE-CM-004,New,24,60 days,No,No,,75,4.5,20,25,38,7.6,0.6,2025-04-28,2025-06-18,85,11049.15,50.00,2.24,0.6,B
P005,Running Shoes,Apparel,Footwear,SportFlex,S110,40.00,89.99,20.00,8.50,95,40,30,21,D03,W4-E2,0.8,30x20x15,Blue,Synthetic,2025-02-10,,RS50030,8901234567894,SF-RS-005,New,3,45 days,Yes,Yes,Summer,82,4.4,45,60,32,15.6,0.1,2025-05-05,2025-06-23,320,28796.80,55.56,10.00,0.7,A
P006,Protein Powder,Health,Supplements,FitLife,S115,25.00,49.99,5.00,5.00,120,50,40,14,E07,W5-F1,1.2,20x20x25,White,Plastic,2025-03-01,2026-03-01,PP60045,8901234567895,FL-PP-006,New,0,15 days,No,No,,70,4.3,60,80,30,20.0,0.0,2025-05-12,2025-06-19,250,12497.50,50.00,8.33,0.4,B
P007,Yoga Mat,Sports,Fitness,ActiveLife,S112,15.00,29.99,0.00,8.50,85,35,25,10,D08,W4-E5,1.0,180x60x0.5,Purple,PVC,2025-01-15,,YM70050,8901234567896,AL-YM-007,New,6,30 days,No,No,,65,4.2,40,50,34,12.5,0.2,2025-05-08,2025-06-17,150,4498.50,50.00,4.41,0.5,B
P008,LED TV 55",Electronics,Television,VisionTech,S104,450.00,799.99,10.00,8.50,25,10,5,21,A03,W3-A1,18.0,140x80x10,Black,Plastic,2025-02-20,,TV80055,8901234567897,VT-TV-008,New,36,60 days,Yes,No,,90,4.8,15,20,50,5.0,0.8,2025-04-25,2025-06-15,60,47999.40,43.75,1.20,0.3,A
P009,Blender,Home,Kitchen Appliances,HomeEssentials,S108,35.00,69.99,5.00,8.50,52,20,15,14,C12,W2-A6,2.5,25x25x35,Red,Plastic,2025-03-10,,BL90060,8901234567898,HE-BL-009,New,12,30 days,No,No,,72,4.4,25,30,35,8.9,0.4,2025-05-02,2025-06-20,110,7698.90,50.00,3.14,0.5,B
P010,Desk Chair,Furniture,Office,ComfortZone,S120,120.00,249.99,15.00,8.50,30,12,8,28,F02,W6-G3,12.0,60x60x100,Black,Leather,2025-01-25,,DC10070,8901234567899,CZ-DC-010,New,24,45 days,No,No,,78,4.6,15,20,60,3.8,0.7,2025-04-20,2025-06-16,45,11249.55,52.00,0.75,0.4,B
